ID,Region,Duration,Winner,Hero1,K1,D1,A1,XPM1,GPM1,DMG1,Hero2,K2,D2,A2,XPM2,GPM2,DMG2,Hero3,K3,D3,A3,XPM3,GPM3,DMG3,Hero4,K4,D4,A4,XPM4,GPM4,DMG4,Hero5,K5,D5,A5,XPM5,GPM5,DMG5,Hero6,K6,D6,A6,XPM6,GPM6,DMG6,Hero7,K7,D7,A7,XPM7,GPM7,DMG7,Hero8,K8,D8,A8,XPM8,GPM8,DMG8,Hero9,K9,D9,A9,XPM9,GPM9,DMG9,Hero10,K10,D10,A10,XPM10,GPM10,DMG10
2286072984,US East,54:28,Dire,omniknight,5,14,28,327,294,7.2k,death-prophet,16,11,24,530,439,42.4k,undying,17,11,36,575,441,27.8k,lion,7,16,37,345,318,15.3k,ursa,14,12,20,387,377,24.5k,meepo,34,9,14,600,833,40.5k,earthshaker,1,14,32,268,287,9.3k,viper,8,11,41,432,395,17.8k,witch-doctor,4,14,39,296,297,7.1k,leshrac,13,13,32,326,387,24.4k
2286074747,SE Asia,51:55,Radiant,lina,4,10,14,316,307,8.2k,phantom-lancer,18,3,7,626,730,18k,faceless-void,7,9,22,615,505,10.8k,vengeful-spirit,4,10,14,252,243,5k,magnus,3,7,7,379,318,6.4k,lion,3,7,18,347,268,7.1k,phantom-assassin,16,7,11,528,557,17.9k,phoenix,5,6,23,454,372,8.9k,windranger,11,5,13,523,479,17.3k,silencer,4,11,24,284,286,5.1k
2286064390,US East,53:29,Dire,slark,25,7,11,605,663,29.2k,ogre-magi,5,12,20,408,309,9.4k,ancient-apparition,4,11,31,321,291,8.9k,shadow-fiend,17,8,16,605,709,19.4k,tidehunter,10,7,31,578,408,12.6k,doom,13,11,17,516,569,15.8k,natures-prophet,4,15,19,550,575,11.4k,earthshaker,16,13,18,486,423,18.2k,jakiro,2,14,22,349,322,11.5k,lone-druid,7,8,23,613,553,20.2k
2286074126,US East,47:21,Dire,io,4,5,7,210,205,2.7k,batrider,5,4,6,380,359,12.8k,puck,3,5,6,405,345,12.1k,ogre-magi,0,5,8,172,188,4.3k,chaos-knight,2,4,4,306,429,4.6k,tidehunter,5,1,11,379,352,9.8k,dazzle,2,4,11,203,239,1.5k,earthshaker,2,4,13,253,274,5.1k,gyrocopter,7,4,8,388,476,8.8k,razor,7,2,11,427,456,21.2k
2286062520,China,42:36,Radiant,death-prophet,9,6,23,492,457,13.9k,slark,4,6,15,558,456,6.8k,rubick,6,12,22,435,371,8k,lifestealer,9,8,22,620,539,15.2k,templar-assassin,15,6,16,642,625,18.4k,clinkz,13,6,7,497,408,20.5k,tiny,10,8,11,585,488,14.3k,doom,5,11,12,366,378,10.9k,vengeful-spirit,4,9,19,288,246,6.9k,venomancer,6,10,23,398,410,19.6k
2286061305,Europe West,40:00,Radiant,anti-mage,5,2,5,709,629,6.1k,viper,11,3,17,610,578,17.4k,skywrath-mage,7,4,12,312,284,8k,rubick,2,8,22,236,228,5.9k,doom,5,4,18,346,324,9.3k,lina,3,9,8,444,358,10.2k,silencer,10,6,5,255,274,10.2k,tidehunter,0,6,9,291,252,5k,earth-spirit,1,5,14,256,219,5.8k,lifestealer,7,5,8,485,439,10.5k
2286071633,US East,32:57,Radiant,sven,0,0,0,-,160,-,witch-doctor,4,3,13,397,353,5.9k,enigma,2,6,18,412,430,6k,clinkz,24,2,7,757,706,25.5k,faceless-void,4,1,19,475,437,5.3k,undying,3,7,7,191,234,4k,rubick,0,7,3,176,170,2.9k,invoker,5,10,4,342,351,7.7k,slark,3,4,2,337,347,8.6k,outworld-devourer,0,6,5,229,232,2.3k
2286058362,China,36:49,Dire,earth-spirit,6,6,15,461,359,10.2k,wraith-king,3,8,13,507,437,7.3k,earthshaker,2,7,11,369,326,5.4k,venomancer,1,12,10,223,232,6.4k,windranger,10,7,6,573,520,14.4k,phantom-lancer,6,6,9,608,552,11.9k,doom,8,7,10,466,524,9.4k,slardar,14,3,11,733,544,14.2k,ogre-magi,3,3,18,442,318,8k,sven,9,4,10,845,734,16.6k
2286076650,US East,26:28,Radiant,witch-doctor,6,4,17,273,367,4.9k,slark,4,2,10,459,473,4.7k,crystal-maiden,2,3,16,361,347,5.9k,queen-of-pain,8,4,16,608,585,15.8k,natures-prophet,20,3,17,655,647,21.5k,puck,8,13,5,433,360,14.5k,disruptor,3,6,7,281,234,6.8k,juggernaut,1,5,6,376,367,6.4k,lion,2,7,6,209,207,2.9k,lone-druid,2,10,4,280,302,3.8k
2286029721,Europe West,34:05,Radiant,earthshaker,4,3,15,332,327,8.4k,vengeful-spirit,1,5,11,192,245,5.1k,viper,11,3,16,539,573,15.7k,lone-druid,4,2,13,536,567,6.3k,ursa,11,2,1,611,593,13.3k,gyrocopter,6,5,7,506,543,11.6k,witch-doctor,3,8,8,182,231,3.8k,windranger,4,5,8,396,333,9.3k,faceless-void,1,7,10,289,255,2.3k,earth-spirit,1,6,11,259,233,7.7k
